"beach,historical_risk,last_incident_note,risk_multiplier"
"Santa Monica,Moderate,Frequent caution days during outgoing tide and tourist-heavy periods,1.10"
"Manhattan Beach,Low,Fewer sampled rip-current alerts than neighboring beaches,1.00"
"Huntington Beach,High,Known surf zone with stronger rip-current exposure and recurrent warnings,1.25"
"Malibu,Moderate,Localized hazard depending on break shape and tide timing,1.10"
"Laguna Beach,Moderate,Can appear calm while currents remain active near coves and breaks,1.15"
"Newport Beach,High,Popular swimming beach with repeated rip-current advisories in active surf,1.22"
"Hermosa Beach,Moderate,Moderate hazard with variable current behavior during stronger swell days,1.10"
"Redondo Beach,Moderate,Occasional stronger current activity near pier and shifting sandbars,1.12"
"Venice Beach,Moderate,Heavy visitor use and intermittent rip-current warnings during surf changes,1.10"
"Dockweiler Beach,Moderate,Wide beach profile can mask current channels during active conditions,1.12"
"Zuma Beach,High,Repeated lifeguard caution patterns during swell and tide transitions,1.24"
"El Porto,High,Surf-focused zone with stronger break energy and increased current risk,1.23"
"Seal Beach,Moderate,Mixed hazard profile with stronger current periods near changing sandbars,1.11"
"Seal Beach Pier,Moderate,Localized current intensification near pier structures,1.14"
"Bolsa Chica,Moderate,Shifting nearshore conditions can create uneven current patterns,1.10"
"Crystal Cove,Moderate,Rocky and cove-influenced conditions can hide localized flow risk,1.13"
"Dana Point,Low,Generally more manageable conditions but localized risk remains possible,1.02"
"Salt Creek Beach,High,Steeper surf zone and repeated higher-risk water entries,1.23"
"San Clemente Pier,Moderate,Current behavior varies with tide and surf crowd conditions,1.12"
"Trestles,High,Advanced surf zone with repeated stronger break and current exposure,1.26"
